"comp","side","Symbol","Trait","Variant","MeSH_term"
"C2","head","TSPAN2","Impedance measures - Leg fat percentage (left)","rs72697933","Plethysmography, Impedance"
"C2","head","TSPAN2","Impedance measures - Leg fat-free mass (right)","rs72697933","Plethysmography, Impedance"
"C2","head","TSPAN2","Impedance measures - Leg predicted mass (right)","rs72697933","Plethysmography, Impedance"
"C2","head","TSPAN2","Impedance measures - Weight","rs72697933","Plethysmography, Impedance"
"C2","head","TSPAN2","Leg fat mass (left)","rs72697933","Body Fat Distribution"
"C2","head","TSPAN2","Leg fat mass (right)","rs72697933","Body Fat Distribution"
"C2","head","TSPAN2","Waist circumference","rs72697933","Waist Circumference"
"C2","head","TSPAN2","Weight","rs72697933","Body Weight"
"C2","head","KIF26A","First PC of the four riskly behaviours","rs34161718","Risk-Taking"
"C2","head","NPNT","Forced expiratory volume in 1-second (FEV1), Best measure","rs34712979","Forced Expiratory Volume"
"C2","head","NPNT","Forced expiratory volume in 1-second (FEV1), predicted percentage","rs34712979","Forced Expiratory Volume"
"C2","head","NPNT","J40-J47 Chronic lower respiratory diseases","rs34712979","Respiratory Tract Diseases"
"C2","head","SLC23A2","Mean corpuscular volume","rs6053030","Erythrocyte Indices"
"C2","head","SLC23A2","Mean sphered cell volume","rs6053030","Erythrocyte Indices"
"C2","head","PITPNC1","Morning/evening person (chronotype)","rs2949923","Sleep"
"C2","tail","MST1R","Arm fat-free mass (left)","rs3733135","Body Fat Distribution"
"C2","tail","MST1R","Arm predicted mass (left)","rs3733135","Body Fat Distribution"
"C2","tail","MST1R","Body mass index","rs2230590","Body Mass Index"
"C2","tail","MST1R","Height","rs2230590","Body Height"
"C2","tail","MST1R","Lymphocyte count","rs3733135","Lymphocyte Count"
"C2","tail","MST1R","Lymphocyte count","rs3733135","Leukocyte Count"
"C2","tail","MST1R","Poultry intake","rs3733135","Energy Intake"
"C2","tail","MST1R","White blood cell (leukocyte) count","rs3733135","Leukocyte Count"
"C2","tail","CEBPD","Eosinophil count","rs45577137","Leukocyte Count"
"C2","tail","CEBPD","Eosinophil percentage of granulocytes","rs45577137","Leukocyte Count"
"C2","tail","CEBPD","Eosinophil percentage of white cells","rs45577137","Leukocyte Count"
"C2","tail","CEBPD","Granulocyte percentage of myeloid white cells","rs45577137","Leukocyte Count"
"C2","tail","CEBPD","Monocyte count","rs45577137","Leukocyte Count"
"C2","tail","CEBPD","Monocyte percentage of white cells","rs45577137","Leukocyte Count"
"C2","tail","CEBPD","Neutrophil percentage of granulocytes","rs45577137","Leukocyte Count"
"C2","tail","CEBPD","Neutrophil percentage of white cells","rs45577137","Leukocyte Count"
"C2","tail","CEBPD","Sum eosinophil basophil counts","rs45577137","Leukocyte Count"
"C2","tail","FRAT1","Hand grip strength (left)","rs56189004","Hand Strength"
"C2","tail","FRAT1","Hand grip strength (right)","rs56189004","Hand Strength"
"C2","tail","FRAT1","Lymphocyte percentage","rs1890966","Lymphocyte Count"
"C2","tail","FRAT2","Hand grip strength (left)","rs56189004","Hand Strength"
"C2","tail","FRAT2","Hand grip strength (right)","rs56189004","Hand Strength"
"C2","tail","TK1","Mean corpuscular hemoglobin","rs144204502","Erythrocyte Indices"
"C2","tail","TK1","Mean reticulocyte volume","rs144204502","Erythrocyte Indices"
"C2","tail","GSTM5","Mean platelet (thrombocyte) volume","rs6673666","Mean Platelet Volume"
"C2","tail","GREB1L","Sitting height","rs4800768","Body Height"
"C2","tail","LPL","Triglycerides","rs12679834","Triglycerides"
"C3","head","TOX2","Colorectal cancer","rs6065668","Colorectal Neoplasms"
"C3","head","TOX2","Haematocrit percentage","rs6065668","Erythrocyte Indices"
"C3","head","TOX2","Haemoglobin concentration","rs6065668","Erythrocyte Indices"
"C3","head","CDK2AP1","Educational attainment (years of education)","rs7306755","Educational Status"
"C3","head","CDK2AP1","Height","rs1060105","Body Height"
"C3","head","CDK2AP1","Sitting height","rs6633","Body Height"
"C3","head","PMEPA1","Mean time to correctly identify matches","rs62205791","Reaction Time"
"C3","tail","KIF16B","Body fat percentage","rs4813224","Body Fat Distribution"
"C3","tail","KIF16B","Height","rs4813224","Body Height"
"C3","tail","KIF16B","Leg fat percentage (left)","rs4813224","Body Fat Distribution"
"C3","tail","KIF16B","Leg fat percentage (right)","rs4813224","Body Fat Distribution"
"C3","tail","KIF16B","Mean platelet (thrombocyte) volume","rs35834087","Mean Platelet Volume"
"C3","tail","KIF16B","Monocyte count","rs4813224","Leukocyte Count"
"C3","tail","KIF16B","Trunk fat percentage","rs4813224","Body Fat Distribution"
"C3","tail","WNT2B","Body fat percentage","rs12029985","Body Fat Distribution"
"C3","tail","WNT2B","Cereal intake","rs12029985","Energy Intake"
"C3","tail","WNT2B","Comparative height size at age 10","rs12029985","Body Height"
"C3","tail","WNT2B","Impedance measures - Body fat percentage","rs12029985","Body Fat Distribution"
"C3","tail","WNT2B","Impedance measures - Trunk fat mass","rs12029985","Body Fat Distribution"
"C3","tail","WNT2B","Impedance measures - Trunk fat percentage","rs12029985","Body Fat Distribution"
"C3","tail","WNT2B","Impedance measures - Whole body fat mass","rs12029985","Body Fat Distribution"
"C3","tail","WNT2B","Impedance of leg (left)","rs12029985","Plethysmography, Impedance"
"C3","tail","WNT2B","Impedance of leg (right)","rs12029985","Plethysmography, Impedance"
"C3","tail","WNT2B","Monocyte percentage","rs12029985","Leukocyte Count"
"C3","tail","WNT2B","Standing height","rs12029985","Body Height"
"C3","tail","WNT2B","Trunk fat mass","rs12029985","Body Fat Distribution"
"C3","tail","WNT2B","Trunk fat percentage","rs12029985","Body Fat Distribution"
"C3","tail","WNT2B","Weight","rs12029985","Body Weight"
"C3","tail","WNT2B","Whole body fat mass","rs12029985","Body Fat Distribution"
"C3","tail","ARID5A","Eosinophil count","rs2579506","Leukocyte Count"
"C3","tail","ARID5A","Eosinophil percentage of white cells","rs2579506","Leukocyte Count"
"C3","tail","ARID5A","Eosinophill count","rs2579500","Leukocyte Count"
"C3","tail","ARID5A","Eosinophill percentage","rs2579500","Leukocyte Count"
"C3","tail","CITED4","Granulocyte percentage of myeloid white cells","rs4660179","Leukocyte Count"
"C3","tail","TCAP","High density lipoprotein","rs1053651","Cholesterol, HDL"
"C3","tail","TCAP","Platelet distribution width","rs2271308","Erythrocyte Indices"
"C3","tail","TCAP","Platelet distribution width","rs2271308","Platelet"
"C3","tail","TCAP","Spherical power (left)","rs1053651","Optometry"
"C3","tail","TCAP","Total cholesterol","rs2271308","Cholesterol"
"C3","tail","FAM65B","Neutrophill count","rs4712850","Leukocyte Count"
"C3","tail","FAM65B","Neutrophill percentage","rs12194352","Leukocyte Count"
"C3","tail","NMT2","Standing height","rs6602818","Body Height"
"C3","tail","FILIP1L","Waist-hip ratio (adjusted for BMI)","rs73858966","Waist-Hip Ratio"
